57-3290,4076551.501,1501448.135,4654427.585,738849.790,203096.290,89.710
46-4342,4116533.397,1481360.038,4625801.746,706814.440,160730.930,105.600
35-4208,4142786.496,1444853.644,4613962.811,663741.440,143221.690,95.520
87-3334,4019434.168,1473071.983,4712607.636,730674.830,289031.410,231.690
63-2341,4109770.905,1318794.388,4680447.836,555364.950,241471.450,193.210
63-2100,4100436.822,1316869.045,4689022.005,556588.950,254231.680,128.400
63-4325,4119905.177,1322512.045,4670659.406,555573.960,226902.870,276.560
Paks,4152144.803,1418887.142,4613639.550,636143.849,142729.875,115.662
34-2304,4155236.894,1391184.296,4619349.604,608950.780,151099.240,187.090
77-1219,4023511.241,1480929.179,4706635.779,736770.630,280264.720,182.890
35-3209,4151486.383,1422936.653,4612957.071,640186.200,141752.850,92.330
34-2416,4155085.084,1402475.337,4615993.366,619672.030,146219.850,114.970
86-2451,4010396.514,1452777.993,4726831.201,714441.370,309821.940,483.310
53-2311,4131406.892,1329046.966,4658916.637,558000.190,209384.270,427.840
36-2130,4120967.139,1479114.646,4622601.591,703245.300,156019.530,111.770
67-4322,4054643.045,1503138.218,4672853.464,747598.910,230403.260,86.630
87-3110,4014110.921,1467386.888,4718885.635,727039.580,298351.130,241.730
47-1001,4087930.141,1501656.258,4644432.515,735333.040,188364.890,86.200
57-2332,4067299.248,1505480.997,4661165.285,745681.800,213124.430,87.170
35-4011,4149972.248,1433783.639,4610975.092,650932.960,138858.890,93.390
57-3438,4080635.142,1504528.736,4649887.394,740428.940,196442.180,93.070
77-3051,4027481.131,1489290.013,4700584.218,743377.600,271397.580,142.800
35-3131,4154440.742,1418622.614,4611640.372,635144.450,139842.340,96.350
34-1001,4155662.423,1370693.020,4625106.400,589444.480,159622.250,227.650
46-4442,4110573.736,1490680.326,4628085.237,717568.980,164183.580,101.330
Siofok,4150486.741,1352739.557,4634818.975,574163.394,174108.367,122.282
35-3001,4156931.480,1408973.542,4612509.804,625211.720,141017.380,212.960
44-3314,4153462.595,1359379.673,4630245.888,579468.300,167347.760,127.510
36-1001,4131886.830,1470063.551,4615801.563,691126.830,145993.800,125.630
63-1403,4107103.993,1312982.347,4684321.761,550739.820,247344.900,139.640
53-2001,4127776.873,1321670.033,4664578.916,552216.220,217513.820,710.630
44-3100,4153006.588,1356422.871,4631514.847,576822.410,169234.130,128.520
43-4258,4151740.130,1353079.904,4633598.360,574075.920,172328.350,117.370
87-1314,4008871.250,1460520.619,4725461.303,722260.450,308098.090,271.360
34-2309,4158570.934,1383727.032,4618521.675,600813.660,150009.650,134.270
67-4011,4047410.669,1505056.874,4678466.062,751773.840,238772.780,87.780
36-3112,4137068.640,1464156.486,4613038.922,683852.570,141937.340,113.550
53-4348,4139245.057,1330622.369,4651355.955,556929.300,198435.160,283.070
35-4261,4143876.813,1453915.008,4610181.330,671950.580,137726.410,110.100
57-2055,4060579.683,1509081.206,4665826.403,751278.430,220089.010,87.590
53-1402,4131480.513,1322097.622,4660754.447,551406.820,212245.560,383.100
73-4014,4094404.094,1309936.679,4696168.857,552003.130,264931.480,119.170
63-3212,4114480.139,1311576.079,4678308.692,547004.410,238480.780,160.940
57-4051,4071089.894,1510802.525,4656166.172,749474.730,205825.030,87.850
67-2330,4040760.563,1505215.941,4684122.802,754095.640,247189.910,88.660
36-2221,4117951.093,1489605.331,4621898.115,714145.870,155120.990,92.220
47-3107,4104154.660,1499873.212,4630771.195,728353.380,168258.740,85.650
35-4060,4150828.027,1442740.232,4607431.408,659119.620,133712.700,91.890
36-2200,4118191.808,1489559.154,4621699.298,714023.690,154830.020,91.820
63-1254,4105633.490,1308945.046,4686702.757,547402.670,250949.230,124.110
67-4015,4052855.812,1509995.967,4672202.489,754664.650,229558.290,90.510
35-3304,4159542.941,1414146.272,4608458.919,629248.170,135214.070,112.540
36-2016,4125624.187,1482882.053,4617266.698,705286.980,148262.860,106.890
34-4109,4161974.690,1390406.541,4613619.142,606016.610,142719.610,234.820
57-2001,4062139.547,1511938.002,4663566.914,753469.470,216788.120,93.780
43-2118,4145253.346,1333187.639,4645360.999,557393.640,189581.750,322.180
63-3418,4122673.501,1313349.377,4670659.374,546007.680,227177.090,172.290
34-4219,4161951.132,1400606.604,4610397.776,615664.460,138103.420,106.480
36-4102,4131640.248,1477155.092,4613745.780,697910.710,143069.610,106.980
47-1408,4094951.054,1506306.547,4636792.990,737437.690,177192.160,90.650
87-3404,4015063.047,1484219.733,4712818.306,742640.020,289536.850,219.880
77-4018,4032538.478,1502598.144,4692007.945,754306.000,258876.340,102.580
73-3812,4099483.016,1306579.366,4692692.992,547172.480,259851.270,117.290
Fuzesabony,4026598.031,1498732.156,4698327.228,752591.468,268215.544,122.994
57-4060,4077839.315,1512611.720,4649718.910,748981.940,196330.950,93.190
34-1141,4160799.645,1365598.096,4622031.495,582951.970,155190.410,239.830
77-2056,4018381.473,1490282.848,4708167.135,747286.380,282622.120,265.460
43-4438,4156993.416,1352041.334,4629294.264,571379.990,166009.890,172.280
47-2108,4083787.169,1511840.608,4644772.690,746312.040,189030.490,87.620
